acronym,name,major,college,prerequisite_text,enrollment_cnt,A_cnt,A_percentage,cardinality
CHIN 199,Independent Studies in Chinese,Chinese - CHIN,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Chinese major; Minimum major GPA of 3.5 or higher,6,6,1,199
CLASS 36H,World of Heroes - Honors,Classics - CLASS,letters_and_science,Concurrent enrollment in Classics 36; consent of instructor.,52,52,1,36
CLASS 40,Greek Mythology,Classics - CLASS,letters_and_science,"",29758,12618,0.42402043148061025,40
CLASS 55,Troy,Classics - CLASS,letters_and_science,"",617,428,0.6936790923824959,55
CLASS 99,Introduction To Research,Classics - CLASS,letters_and_science,Consent of instructor and department chair.,230,213,0.9260869565217391,99
CLASS 101,Greek Intellectual Revolutions,Classics - CLASS,letters_and_science,"",213,112,0.5258215962441315,101
CLASS 140,Slavery and Freedom in the Ancient World,Classics - CLASS,letters_and_science,"",161,97,0.6024844720496895,140
CLASS 150,"The Fall of the Ancient Republic: Cicero, Caesar, and Rome",Classics - CLASS,letters_and_science,"",833,271,0.32533013205282113,150
CLASS 195A,Senior Honors Thesis in Classics,Classics - CLASS,letters_and_science,Must have been in residence as a Classics major for at least one full quarter. Must have a grade point average of 3.6 or better in the major. Approval of the department's chair.,1,1,1,195
CLASS 199,Independent Studies In Greek And Latin.,Classics - CLASS,letters_and_science,Consent of instructor and department chair; upper-division standing; completion of 2 upper-division courses in Classics.,1,1,1,199
COMM 87,Statistical Analysis for Communication,Communication - COMM,letters_and_science,"",3610,951,0.26343490304709144,87
COMM 88,Communication Research Methods,Communication - COMM,letters_and_science,"",8345,2127,0.2548831635710006,88
COMM 89,Theories of Communication,Communication - COMM,letters_and_science,"",8424,2638,0.3131528964862298,89
COMM 99RA,Independent Research Assistance in Communication,Communication - COMM,letters_and_science,Open to Communication and Pre-Communication Majors only. Students must have taken at least one Communication course from UCSB in order to enroll.,153,152,0.9934640522875817,99
COMM 101,Media Literacy,Communication - COMM,letters_and_science,Not open to Freshmen.,1281,462,0.36065573770491804,101
COMM 108,Corporate Social Responsibility,Communication - COMM,letters_and_science,Not open to freshmen.,661,303,0.4583963691376702,108
COMM 111,Nonverbal Communication in Human Interaction,Communication - COMM,letters_and_science,Not open to Freshmen.,2363,1063,0.4498518831993229,111
COMM 118,The Social and Historical Co-evolution of (Communication and Information) Technologies,Communication - COMM,letters_and_science,Not open to Freshmen.,1013,218,0.21520236920039487,118
COMM 122,Organizational Communication,Communication - COMM,letters_and_science,Not open to Freshmen.,1459,636,0.43591501028101437,122
COMM 123,Cultural Influences on Communication,Communication - COMM,letters_and_science,Not open to freshmen.,997,329,0.3299899699097292,123
COMM 130,Political Communication,Communication - COMM,letters_and_science,Not open to freshmen.,584,212,0.363013698630137,130
COMM 133,Media and Children,Communication - COMM,letters_and_science,Not open to freshmen.,1338,495,0.36995515695067266,133
COMM 139,Communication and Emotion,Communication - COMM,letters_and_science,Not open to freshmen.,1537,304,0.1977878985035784,139
COMM 150,Group Communication in Multiple Contexts,Communication - COMM,letters_and_science,Not open to freshmen.,1539,1038,0.6744639376218323,150
COMM 153,Communication and Global Advocacy Networks,Communication - COMM,letters_and_science,Not open to Freshmen.,127,81,0.6377952755905512,153
COMM 154,Video Game Research,Communication - COMM,letters_and_science,Not open to freshmen.,1185,366,0.30886075949367087,154
COMM 160DM,Consumer Behavior in a Digital World,Communication - COMM,letters_and_science,Not open to freshmen.,401,242,0.6034912718204489,160
COMM 160MH,Special Topics: Navigating Close Relationships and Mental Health,Communication - COMM,letters_and_science,Not open to freshmen.,334,149,0.44610778443113774,160
COMM 160PD,"News, Politics, & Democracy",Communication - COMM,letters_and_science,Not open to freshmen.,225,173,0.7688888888888888,160
COMM 166,Marketing Communication,Communication - COMM,letters_and_science,Not open to freshmen.,2955,961,0.3252115059221658,166
COMM 169,Social Networks,Communication - COMM,letters_and_science,Not open to Freshmen.,1668,697,0.41786570743405277,169
COMM 170,Communication Law,Communication - COMM,letters_and_science,"",1311,627,0.4782608695652174,170
COMM 175AD,Senior Capstone in Communication: Advertising,Communication - COMM,letters_and_science,Comm 138; Consent of instructor; senior standing; communication and interdisciplinary studies majors only.,96,70,0.7291666666666666,175
COMM 177,The Legal Community and the Courtroom,Communication - COMM,letters_and_science,"",827,609,0.7363966142684402,177
COMM 181A,Senior Honors Thesis,Communication - COMM,letters_and_science,Consent of instructor.,155,152,0.9806451612903225,181
COMM 183,Intercultural Communication Competence,Communication - COMM,letters_and_science,Not open to freshmen.,559,248,0.44364937388193204,183
COMM 185,Communication Technology and Relationships,Communication - COMM,letters_and_science,Not open to Freshmen.,417,281,0.6738609112709832,185
COMM 194,Group Studies for Advanced Students,Communication - COMM,letters_and_science,Upper-division standing; open to communications majors only.,54,54,1,194
COMM 197,Communication Internship,Communication - COMM,letters_and_science,Must be declared as pre-communication or communication major. Students must have 2.0 cumulative GPA.,169,157,0.9289940828402367,197
COMM 199,Independent Studies in Communication,Communication - COMM,letters_and_science,Upper-division standing; open to communication majors only.,24,22,0.9166666666666666,199
COMM 199RA,Independent Research Assistance in Communication,Communication - COMM,letters_and_science,Upper-division standing; Open to Communication majors only.,1851,1831,0.9891950297136682,199
C LIT 30B,Major Works in European Literature,Comparative Literature - C LIT,letters_and_science,"",3132,1857,0.592911877394636,30
C LIT 35,The Making of the Modern World,Comparative Literature - C LIT,letters_and_science,"",818,512,0.6259168704156479,35
C LIT 43A,"Dreaming Revolutions: Introduction to Marx, Nietzsche, and Freud",Comparative Literature - C LIT,letters_and_science,"",126,82,0.6507936507936508,43
C LIT 50B,Tales of Love in the Western Tradition,Comparative Literature - C LIT,letters_and_science,Writing 2.,237,175,0.7383966244725738,50
C LIT 82,Modern Chinese Literature,Comparative Literature - C LIT,letters_and_science,"",51,40,0.7843137254901961,82
C LIT 101,Introduction to Literary and Critical Theory,Comparative Literature - C LIT,letters_and_science,Upper division standing.,217,143,0.6589861751152074,101
C LIT 102A,Introduction to Translation I,Comparative Literature - C LIT,letters_and_science,Spanish 25 OR Spanish 16B.,26,23,0.8846153846153846,102
C LIT 122B,Holocaust in France,Comparative Literature - C LIT,letters_and_science,"",116,55,0.47413793103448276,122
C LIT 148,Creative Chaos,Comparative Literature - C LIT,letters_and_science,Upper-division standing.,194,172,0.8865979381443299,148
C LIT 163,Digital Visual Studies,Comparative Literature - C LIT,letters_and_science,Upper division standing.,12,10,0.8333333333333334,163
C LIT 170,Translation as Metaphor:Introduction to Translation Theory and Practice,Comparative Literature - C LIT,letters_and_science,Upper-division standing; and completion of quarter 5 or equivalent of the language of study.,276,195,0.7065217391304348,170
C LIT 175A,Literatures of Eurasia: Armenian Literature,Comparative Literature - C LIT,letters_and_science,"",18,11,0.6111111111111112,175
C LIT 180,The European Renaissance,Comparative Literature - C LIT,letters_and_science,Writing 2 and 50; or Writing 109AA-ZZ or English 10.,101,62,0.6138613861386139,180
C LIT 186B,Gender in Basque Culture,Comparative Literature - C LIT,letters_and_science,Upper-division standing.,18,15,0.8333333333333334,186
C LIT 186FL,"Vegetarianism: Food, Literature, Philosophy",Comparative Literature - C LIT,letters_and_science,Upper-division standing.,577,290,0.5025996533795494,186
C LIT 186JJ,Literatures in the Juvenile Justice System - Theory into Practice,Comparative Literature - C LIT,letters_and_science,Upper-division standing.,138,135,0.9782608695652174,186
C LIT 186PP,Poetry & Community Practice,Comparative Literature - C LIT,letters_and_science,Upper-division standing.,222,208,0.9369369369369369,186
C LIT 186SC,"Reading, Writing, and Reimagining the Literatures of Social Change",Comparative Literature - C LIT,letters_and_science,Upper-division standing.,112,103,0.9196428571428571,186
C LIT 192A,VIOLENCE AS DE-COLONIZING CATHARSIS: FROM FRANTZ FANON TO THE TRICONTINENTAL MANIFESTO,Comparative Literature - C LIT,letters_and_science,UPPER-DIVISION STANDING. MAY BE REPEATED FOR CREDIT TO A MAXIMUM OF 12 UNITS,12,10,0.8333333333333334,192
C LIT 193,Research in Translation Studies,Comparative Literature - C LIT,letters_and_science,Comparative Literature 170.,14,11,0.7857142857142857,193
C LIT 196H,Senior Honors Independent Research,Comparative Literature - C LIT,letters_and_science,Comparative Literature majors only.,1,1,1,196
C LIT 199,Independent Studies in Comparative Literature,Comparative Literature - C LIT,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Comparative Literature.,12,11,0.9166666666666666,199
CMPSC 5A,Introduction to Data Science 1,Computer Science - CMPSC,engineering,"",723,519,0.7178423236514523,5
CMPSC 5B,Introduction to Data Science 2,Computer Science - CMPSC,engineering,Computer Science 5A with a grade of C or better.,132,109,0.8257575757575758,5
CMPSCW 8,Introduction to Computer Science,Computer Science - CMPSC,engineering,"",2266,1431,0.6315092674315975,8
CMPSC 9,Intermediate Python Programming,Computer Science - CMPSC,engineering,Computer Science 8 or Engineering 3 with a grade of C or better.,1247,583,0.46752205292702487,9
CMPSC 16,Problem Solving with Computers I,Computer Science - CMPSC,engineering,"Mathematics 3A or 2A with a grade of C or better (may be taken concurrently), CS 8 or Engineering 3 or ECE 3 with a grade of C or better, or significant prior programming experience.",6933,3754,0.54146833982403,16
CMPSC 24,Problem Solving with Computers II,Computer Science - CMPSC,engineering,Computer Science 16 with a grade of C or better; and Mathematics 3B or 2B with a grade of C or better (may be taken concurrently).,4091,2286,0.5587875824981667,24
CMPSC 40,Foundations of Computer Science,Computer Science - CMPSC,engineering,Computer Science 16 with a grade of C or better and Mathematics 4A with a grade of C or better.,3175,1205,0.3795275590551181,40
CMPSC 64,Computer Organization and Logic Design,Computer Science - CMPSC,engineering,Computer Science 16 with a grade of C or better; and Mathematics 3C or 4A with a grade of C or better.,1802,1031,0.5721420643729189,64
CMPSC 99,Independent Studies in Computer Science,Computer Science - CMPSC,engineering,"",1,1,1,99
CMPSC 100,Introduction to Teaching Methods in Computer Science,Computer Science - CMPSC,engineering,Consent of instructor.,37,37,1,100
CMPSC 111,Introduction to Computational Science,Computer Science - CMPSC,engineering,Mathematics 4B with a grade of C or better; Mathematics 6A with a grade of C or better; Computer Science 24 with a grade of C or better.,1506,1066,0.7078353253652059,111
CMPSC 130A,Data Structures and Algorithms I,Computer Science - CMPSC,engineering,"Computer Science 40 with a grade of C or better; Computer Science 32 with a grade of C or better; PSTAT 120A or ECE 139; open to computer science, computer engineering, and electrical engineering majors only.",2833,1391,0.49099894105188846,130
CMPSC 130B,Data Structures and Algorithms II,Computer Science - CMPSC,engineering,Computer Science 130A.,2094,753,0.35959885386819485,130
CMPSC 140,Parallel Scientific Computing,Computer Science - CMPSC,engineering,Mathematics 4B with a grade of C or better; Mathematics 6A with a grade of C or better; Computer Science 130A.,643,319,0.49611197511664074,140
CMPSC 154,Computer Architecture,Computer Science - CMPSC,engineering,Computer Science 32 with a grade of C or better; Computer Science 64 with a grade of C or better.,1782,937,0.5258136924803591,154
CMPSC 156,Advanced Applications Programming,Computer Science - CMPSC,engineering,Computer Science 24 and 32 with a grade of C or better; open to Computer Science and Computer Engineering majors only.,503,490,0.974155069582505,156
CMPSC 162,Programming Languages,Computer Science - CMPSC,engineering,Computer Science 130A and 138; open to computer science and computer engineering majors only.,1149,765,0.6657963446475196,162
CMPSC 165A,Artificial Intelligence,Computer Science - CMPSC,engineering,Computer Science 130A,1199,614,0.51209341117598,165
CMPSC 165B,Machine Learning,Computer Science - CMPSC,engineering,Computer Science 130A.,1272,731,0.574685534591195,165
CMPSC 170,Operating Systems,Computer Science - CMPSC,engineering,"Computer Science 130A; and, Computer Science 154 or ECE 154A (may be taken concurrently); open to computer science, computer engineering or electrical engineering majors only.",2169,839,0.3868142000922084,170
CMPSC 174B,Design and Implementation Techniques of Database Systems,Computer Science - CMPSC,engineering,Computer Science 130B.,128,81,0.6328125,174
CMPSC 176B,Network Computing,Computer Science - CMPSC,engineering,Computer Science 176A.,689,359,0.521044992743106,176
CMPSC 181,Introduction to Computer Vision,Computer Science - CMPSC,engineering,"Upper-division standing in Electrical Engineering, Computer Engineering, Computer Science, Chemical Engineering or Mechanical Engineering.",252,137,0.5436507936507936,181
CMPSC 185,Human-Computer Interaction,Computer Science - CMPSC,engineering,"Upper division standing; Open to computer science, computer engineering, and electrical engineering majors.",720,402,0.5583333333333333,185
CMPSC 189B,Senior Computer Systems Project,Computer Science - CMPSC,engineering,CMPSC 189A; Senior standing in Computer Science or Computer Engineering.,601,570,0.9484193011647255,189
CMPSC 190A,Special Topics in Computer Science:Foundations,Computer Science - CMPSC,engineering,Consent of instructor.,179,158,0.88268156424581,190
CMPSC 190DE,Special Topics in Computer Science,Computer Science - CMPSC,engineering,Consent of instructor.,80,68,0.85,190
CMPSC 190I,Special Topics in Computer Science:Intelligent and Interactive Systems,Computer Science - CMPSC,engineering,Consent of instructor.,430,296,0.6883720930232559,190
CMPSC 192,Projects in Computer Science,Computer Science - CMPSC,engineering,Consent of instructor.,74,71,0.9594594594594594,192
CMPSC 193,Internship in Industry,Computer Science - CMPSC,engineering,Consent of instructor and department chair.,60,59,0.9833333333333333,193
CMPSC 196,Undergraduate Research,Computer Science - CMPSC,engineering,"Students must: (1) have attained upper-division standing (2) have a minimum3.0 grade-point average for preceding three quarters, (3) have consent of instructor.",323,318,0.9845201238390093,196
CMPSC 199,Independent Studies in Computer Science,Computer Science - CMPSC,engineering,Upper-division standing; students must have completed at least two upper- division courses in computer science. May be repeated with consent of chair.,3,3,1,199
CMPTGCS 1B,Computer Programming and Organization II,Computing (Creative Studies) - CMPTGCS,creative_studies,Consent of instructor.,92,92,1,1
CMPTGCS 1L,Programming Laboratory,Computing (Creative Studies) - CMPTGCS,creative_studies,Consent of instructor. Concurrent enrollment in Creative Studies-Computer Science 1A or 1B.,197,197,1,1
CMPTGCS 5,Group Studies,Computing (Creative Studies) - CMPTG,creative_studies,Consent of Instructor,7,7,1,5
CMPTGCS 20,Special Topics in Computer Science,Computing (Creative Studies) - CMPTGCS,creative_studies,Consent of instructor.,186,186,1,20
CNCSP 97,Special Topics in Applied Psychology,"Counseling, Clinical, School Psychology - CNCSP",graduate_school,"",21,19,0.9047619047619048,97
CNCSP 99,Independent Studies,"Counseling, Clinical, School Psychology - CNCSP",graduate_school,"",3,3,1,99
CNCSP 99RA,Independent Research Assistance,"Counseling, Clinical, School Psychology - CNCSP",graduate_school,"",25,25,1,99
CNCSP 101,"Introduction to Helping Skills:Theory, Research and Practice","Counseling, Clinical, School Psychology - CNCSP",graduate_school,Consent of instructor.,5848,4437,0.7587209302325582,101
CNCSP 112,Positive Psychology Across the Lifespan.,"Counseling, Clinical, School Psychology - CNCSP",graduate_school,Consent of instructor.,1926,1580,0.8203530633437176,112
CNCSPW 116,Bisexuality: From Margin to Center,"Counseling, Clinical, School Psychology - CNCSP",graduate_school,"",422,340,0.8056872037914692,116
CNCSP 197,Special Topics in Applied Psychology,"Counseling, Clinical, School Psychology - CNCSP",graduate_school,Consent of instructor.,2158,1738,0.8053753475440223,197
CNCSP 199,Independent Studies,"Counseling, Clinical, School Psychology - CNCSP",graduate_school,Consent of instructor.,105,99,0.9428571428571428,199
CNCSP 199RA,Independent Research Assistance,"Counseling, Clinical, School Psychology - CNCSP",graduate_school,Consent of instructor.,1756,1639,0.933371298405467,199
DANCE 45,History and Appreciation of Dance,Dance - DANCE,letters_and_science,"",19273,9914,0.5143983811549837,45
DANCE 47B,Ballet I,Dance - DANCE,letters_and_science,Audition.,501,266,0.530938123752495,47
DANCE 50,Fundamentals of Choreography,Dance - DANCE,letters_and_science,"",257,199,0.77431906614786,50
DANCE 56B,Modern Dance I,Dance - DANCE,letters_and_science,Audition.,518,312,0.6023166023166023,56
DANCE 56E,Modern Dance II,Dance - DANCE,letters_and_science,Dance 56C.,414,274,0.6618357487922706,56
DANCE 94,Group Studies for Lower-Division Dance Students,Dance - DANCE,letters_and_science,Lower-division standing.,292,283,0.9691780821917808,94
DANCE 99,Independent Study in Dance,Dance - DANCE,letters_and_science,Consent of instructor and department; completion of lower-division dance history course.,7,5,0.7142857142857143,99
DANCE 145G,"Race, Immigration, and Contemporary American Dance",Dance - DANCE,letters_and_science,Upper division standing.,80,67,0.8375,145
DANCE 147E,Ballet IV,Dance - DANCE,letters_and_science,Dance 147D.,85,65,0.7647058823529411,147
DANCE 149,Dance Workshop,Dance - DANCE,letters_and_science,Audition.,965,963,0.9979274611398964,149
DANCE 151B,Choreography,Dance - DANCE,letters_and_science,Dance 151A,170,148,0.8705882352941177,151
DANCE 156B,Modern Dance III,Dance - DANCE,letters_and_science,Dance 56F.,358,275,0.7681564245810056,156
DANCE 156E,Modern Dance IV,Dance - DANCE,letters_and_science,Dance 156C.,254,217,0.8543307086614174,156
DANCE 167A,Senior Solo Experimental Performance:Workshop in Creative Practice,Dance - DANCE,letters_and_science,"DANCE 50, DANCE 51, DANCE 151A.",19,19,1,167
DANCE 186,Dance Production,Dance - DANCE,letters_and_science,Dance 151C.,76,76,1,186
DANCE 190,UCSB Dance Company,Dance - DANCE,letters_and_science,Consent of instructor.,388,386,0.9948453608247423,190
DANCE 194,Group Studies in Dance,Dance - DANCE,letters_and_science,Upper-division standing.,287,265,0.9233449477351916,194
DANCE 199,Independent Study in Dance,Dance - DANCE,letters_and_science,Consent of instructor and department; upper-division standing; completion of 2 upper-division courses in Dance.,95,94,0.9894736842105263,199
EARTH 2,Principles of Physical Geology,Earth Science - EARTH,letters_and_science,"",6188,1677,0.2710084033613445,2
EARTH 4,Introduction to Oceanography,Earth Science - EARTH,letters_and_science,"",8553,3551,0.4151759616508827,4
EARTH 9,Giant Earthquakes,Earth Science - EARTH,letters_and_science,None,662,163,0.24622356495468278,9
EARTH 10,Antarctica:The Last Place on Earth,Earth Science - EARTH,letters_and_science,"",5304,1965,0.37047511312217196,10
EARTH 20,Geological Catastrophes,Earth Science - EARTH,letters_and_science,"",8308,3738,0.4499277804525758,20
EARTH 99,Independent Studies,Earth Science - EARTH,letters_and_science,Consent of instructor.,1,1,1,99
EARTH 103,Fundamentals of Structural Geology,Earth Science - EARTH,letters_and_science,Earth 104A; Math 2B or 3B (may be taken concurrently); Physics 6A or 1,328,78,0.23780487804878048,103
EARTH 104G,Digital Analysis and Interpretation of Field Data,Earth Science - EARTH,letters_and_science,Earth 2,28,7,0.25,104
EARTH 115,Analytical Methods in Geomaterials,Earth Science - EARTH,letters_and_science,Earth 114,228,114,0.5,115
EARTH 121,Principles of Evolution,Earth Science - EARTH,letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3 or EARTH 2 and 3; Completion of all listed prerequisites with a grade of C- or better.",88,15,0.17045454545454544,121
EARTH 124I,Biogeochemistry of Stable and Cosmogenic Isotopes,Earth Science - EARTH,letters_and_science,"Chemistry 1C; Mathematics 3A, Earth 2 or 3 or 4 or 4S.",116,33,0.28448275862068967,124
EARTH 131,Geophysical Time-Series Analysis,Earth Science - EARTH,letters_and_science,"Mathematics 3A-B and 4A-B; and Mathematics 6A (may be taken concurrently); and Physics 6A-B-C, or Physics 1 and 2.",41,29,0.7073170731707317,131
EARTH 134,Introduction to Geological and Geophysical Data Analysis,Earth Science - EARTH,letters_and_science,Mathematics 2A-B or 3A-B; and Mathematics 4A-B.,478,150,0.3138075313807531,134
EARTH 144,Invertebrate Paleobiology,Earth Science - EARTH,letters_and_science,MCDB 1A & MCDB 1B & EEMB 2 & EEMB 3 or Earth 3 or 30 or 111 (all with a minimum grade of C- or better),52,25,0.4807692307692308,144
EARTH 160,Seminar in Geology,Earth Science - EARTH,letters_and_science,"",1573,1443,0.9173553719008265,160
EARTH 173,Groundwater Hydrology,Earth Science - EARTH,letters_and_science,GEOG 3B or 4 or EARTH 2; or consent of instructor.,208,37,0.1778846153846154,173
EARTH 177,Ore Deposits and Mineral Resources,Earth Science - EARTH,letters_and_science,Earth 2; Earth 114,149,49,0.3288590604026846,177
EARTH 182A,Field Studies in Marine Bio/Geochemistry,Earth Science - EARTH,letters_and_science,Consent of instructor.,76,76,1,182
EARTH 187,Introduction to Teaching in Geological Sciences,Earth Science - EARTH,letters_and_science,Upper-division standing and consent of instructor.,45,45,1,187
EARTH 189,Seminar in Paleobiology,Earth Science - EARTH,letters_and_science,Consent of instructor.,57,57,1,189
EARTH 192,Internship in Geological Sciences,Earth Science - EARTH,letters_and_science,Proposal form must be submitted by the end of the 2nd week of the quarter. Applicant must have a minimum overall GPA of 2.70. Student that does not meet this requirement may submit a GPA waiver.,4,4,1,192
EARTH 194GC,Seminar in Geoscience Careers,Earth Science - EARTH,letters_and_science,Upper-division standing; consent of instructor.,43,43,1,194
EARTH 196HA,Senior Honors Thesis,Earth Science - EARTH,letters_and_science,Earth Science majors only; consent of instructor; honors standing (minimum overall and major GPA of 3.2).,8,7,0.875,196
EARTH 196HB,Senior Honors Thesis,Earth Science - EARTH,letters_and_science,Earth Science majors only; consent of instructor; honors standing (minimum overall and major GPA of 3.2).,8,7,0.875,196
EARTH 196HC,Senior Honors Thesis,Earth Science - EARTH,letters_and_science,Earth Science majors only; consent of instructor.,9,8,0.8888888888888888,196
EARTH 198,Readings in the Geological Sciences,Earth Science - EARTH,letters_and_science,Upper-division standing; consent of the instructor and the department chair,6,5,0.8333333333333334,198
EARTH 199,Independent Studies in Geology,Earth Science - EARTH,letters_and_science,Upper-division standing in the major; consent of department and instructor.,95,88,0.9263157894736842,199
EARTH 199RA,Independent Research Assistance in Geological Sciences,Earth Science - EARTH,letters_and_science,Upper-division standing; consent of instructor.,49,49,1,199
EACS 4A,East Asian Traditions:Pre-modern,East Asian Cultural Studies - EACS,letters_and_science,"",5718,2520,0.440713536201469,4
EACS 5,Introduction to Buddhism,East Asian Cultural Studies - EACS,letters_and_science,"",819,454,0.5543345543345544,5
EACS 99RA,Independent Research Assistance on Asia,East Asian Cultural Studies - EACS,letters_and_science,minimum 3.0 cumulative GPA,1,1,1,99
EACS 136,Children at War,East Asian Cultural Studies - EACS,letters_and_science,Upper-division standing,58,23,0.39655172413793105,136
EACS 181GL,Global East Asia,East Asian Cultural Studies - EACS,letters_and_science,Upper Division Standing,64,39,0.609375,181
EEMB 2,Introductory Biology II--Ecology and Evolution,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,MCDB 1A with a grade of C- or better.,38292,6944,0.181343361537658,2
EEMB 2Z,Selected Topics from EEMB 2,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Consent of department.,65,48,0.7384615384615385,2
EEMB 7,Principles of Evolution and Animal Physiology for Brain Sciences,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,MCDB 6 or MCDB 1A all with a grade of C- or better,1730,720,0.4161849710982659,7
EEMB 84,Internship in Biological Sciences,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Lower-division standing; instructor and departmental approval required.,66,66,1,84
EEMB 92,Special Topics in Biology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"",378,350,0.9259259259259259,92
EEMB 96,Introduction to Curation of Natural History Collections,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"",45,43,0.9555555555555556,96
EEMB 98,Readings in Biological Sciences,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Consent of instructor and department.,1,1,1,98
EEMB 99,Introduction to Research,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Consent of instructor and department.,45,45,1,99
EEMB 111,Parasitology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",2051,632,0.3081423695758167,111
EEMB 111H,Parasitology-Honors,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Concurrent enrollment in EEMB 111; consent of instructor,34,31,0.9117647058823529,111
EEMB 127,Plant Biology and Biodiversity,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",2474,1086,0.43896523848019403,127
EEMB 129,Introductory Genetics,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3 with a grade of C or better.",1407,341,0.24235963041933192,129
EEMB 130C,Aquatic Food and Resource Management,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"Environmental Studies 100 or MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",87,76,0.8735632183908046,130
EEMB 131,Principles of Evolution,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3 or EARTH 2 and 3; Completion of all listed prerequisites with a grade of C- or better.",3252,1135,0.3490159901599016,131
EEMB 138,Ethology and Behavioral Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",1122,508,0.45276292335115864,138
EEMB 142B,Environmental Processes in Oceans and Lakes,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.",1647,634,0.3849423193685489,142
EEMB 142BL,Chemical and Physical Methods of Aquatic Environments,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,EEMB 142B (may be taken concurrently); Completion of all listed prerequisites with a grade of C- or better.,142,111,0.7816901408450704,142
EEMB W 146,Biometry,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Mathematics 2A-B or 3A-B or 34A-B; and PSTAT 5A or PSTAT 5LS or PSTAT 109 or Math 4A or Psy 5; Completion of all listed prerequisites with a grade of C- or better.,356,235,0.6601123595505618,146
EEMB 152,Applied Marine Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"Environmental Studies 100, or MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3; and Mathematics 3A or 34A. Completion of all listed prerequisites with a grade of C- or better.",506,360,0.7114624505928854,152
EEMB 157B,Animal Physiology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.",387,172,0.4444444444444444,157
EEMB 163,Deep-Sea Biology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.",936,330,0.3525641025641026,163
EEMB 168,Conservation Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",1552,1287,0.8292525773195877,168
EEMB 174,Advanced Biostatistics using Bayesian Methods,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,EEMB 146 with a grade of C- or better.,26,20,0.7692307692307693,174
EEMB 179,Ecological Modeling,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Mathematics 34A-B or 3A-B or 2A-B; completion of all listed prerequisites with a grade of C- or better.,381,165,0.4330708661417323,179
EEMB 183,Introduction to Teaching in Biology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,44,44,1,183
EEMB 184,Internship in Biological Sciences,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing; consent of department.,351,349,0.9943019943019943,184
EEMB 185,Field Work in Oceanography,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,EEMB 142B or 142C; consent of instructor.,12,12,1,185
EEMB 188RE,Conservation and Restoration Seminar,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"",437,334,0.7643020594965675,188
EEMB 190,EEMB Colloquium,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Consent of Instructor.,334,328,0.9820359281437125,190
